"";"paste";"dotmusic";"bostonglobe";"filter";"independent";"revolver";"blabbermouth";"blare";"rapreviews";"kerrang";"times";"q";"yahoo";"ign";"roughstock";"allmusic";"austinchronicle";"drownedinsound";"stylus";"slant";"usatoday";"metalhammer";"about";"americansongwriter";"djbooth";"vibe";"prefix";"phoenix";"beatsperminute";"rollingstone";"digitalspy";"e";"fly";"entertainment";"robertchristgau";"observer";"xxl";"mojo";"chicagotribune";"now";"absolutepunk";"nme";"rocksound";"noripcord";"consequenceofsound";"newyorktimes";"hotpress";"cokemachineglow";"chartattack";"popmatters";"skinny";"underradar";"hiphopdx";"melodic";"dusted";"punknews";"countryweekly";"villagevoice";"musicbox";"billboard";"thisisfakediy";"people";"blender";"uncut";"playlouder";"tinymixtapes";"clash";"guardian";"artistdirect";"dailytelegraph";"musicomh";"exclaim";"onethirtybpm";"washingtonpost";"bbc";"a";"sputnikmusic";"urb";"rollingstonealbumguide";"rockfeedback";"pitchforkmedia";"virgin";"losangelestimes";"entertainmentweekly";"msnmusic";"okayplayer";"spin";"alternativepress"
"http://dbpedia.org/resource/Songs_for_the_Deaf";"";"";"";"";"";"";"";"";"";"";"";"0.8";"";"";"";"1.0";"";"";"";"";"";"";"";"";"";"";"";"";"";"0.6";"";"";"";"";"";"";"";"";"";"";"";"0.9";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0.8";"1.0";"";"";"";"0.8";"";"";"";"";"";"";"";"";"";"";"";"";"0.79";"";"0.75";"0.9";"";"";"";""
"http://dbpedia.org/resource/Laws_of_Illusion";"";"";"0.8";"";"";"";"";"";"";"";"";"";"";"";"";"0.6";"";"";"";"0.4";"";"";"";"";"";"";"";"";"";"0.4";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0.8";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0.8";"";"";"";"";"";"0.625";"0.8";"";"";"";""
"http://dbpedia.org/resource/Writers_Without_Homes";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0.4";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0.61";"";"";"";"";"";"";""
"http://dbpedia.org/resource/Yonder_Is_the_Clock";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0.8";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"http://dbpedia.org/resource/The_Boy_with_No_Name";"";"";"";"";"";"";"";"";"";"";"";"0.8";"";"";"";"0.7";"";"";"";"";"";"";"";"";"";"";"";"";"";"0.5";"1.0";"";"";"";"";"";"";"";"";"";"";"0.2";"";"";"";"";"";"";"";"0.6";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"0.5599999999999999";"";"";"";"";"";"";""
"http://dbpedia.org/resource/The_Fabled_City";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0.8";"";"";"";"";"";"";"";"";"";"";"";"";"";"0.6";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"http://dbpedia.org/resource/@Reverend_Makers";"";"";"";"";"0.8";"";"";"";"";"";"";"0.2";"";"";"";"0.6";"";"0.1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0.6";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0.7";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"http://dbpedia.org/resource/Damita_Jo_(album)";"";"";"";"";"";"";"";"";"";"";"";"";"0.4";"";"";"0.4";"";"";"";"0.6";"0.75";"";"";"";"";"";"";"";"";"0.4";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"0.8";"";"";"";"";"";"";"0.5";"";"";"";"";"";"";"";"";"0.75";"";"";"";""
"http://dbpedia.org/resource/Day_I_Forgot";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0.6";"";"";"";"";"";"";"";"";"";"";"";"";"";"0.4";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"http://dbpedia.org/resource/Charmbracelet";"";"";"";"";"";"";"";"";"";"";"";"";"0.4";"";"";"0.4";"";"";"";"0.6";"0.75";"";"";"";"";"";"";"";"";"0.4";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"0.4";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0.7";"";"";"";""
"http://dbpedia.org/resource/Ultra_Payloaded";"";"";"";"";"";"";"";"";"";"0.8";"";"0.6";"";"";"";"0.6";"";"";"";"";"";"";"";"";"";"";"";"";"";"0.5";"";"";"";"";"";"";"";"";"";"";"";"0.3";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0.6";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"http://dbpedia.org/resource/The_Sunset_Tree";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0.9";"";"";"";"";"";"";"";"";"";"";"";"";"";"0.6";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0.8";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0.72";"";"";"";"";"";"";""
"http://dbpedia.org/resource/Own_the_Night";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0.6";"";"";"";"0.3";"";"";"";"0.6";"";"";"";"";"";"0.4";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0.8";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0.625";"0.8";"";"";"";""
"http://dbpedia.org/resource/Fear_Yourself";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"http://dbpedia.org/resource/Sun,_Sun,_Sun";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0.7";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0.5";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0.6799999999999999";"";"";"";"";"";"";""
"http://dbpedia.org/resource/Silent_Movies";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0.8";"";"";"";"";"";"";"";"";"";"";"";"";"";"0.8";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0.9";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"http://dbpedia.org/resource/Music_of_the_Spheres_(Ian_Brown_album)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0.8";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"http://dbpedia.org/resource/The_ArchAndroid";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0.8";"";"";"";"0.8";"";"";"";"";"";"";"";"";"";"0.7";"";"";"";"";"";"";"";"";"1.0";"";"";"0.8";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1.0";"";"";"";"";"";"";"";"";"";"1.0";"";"";"0.85";"";"0.875";"";"";"";"0.9";""
"http://dbpedia.org/resource/Bitchin'";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0.6";"";"";"0.6";"";"";"";"";"";"";"";"";"0.5";"";"0.6";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0.4";"";"";"";"";"";"";"";"";"";"";"";"";"";"0.6";"";"";"";"";"";"";"0.8";"";"";"";"";"";"";"";"";"";"0.4";"";"";"";"";"";"0.4";""
"http://dbpedia.org/resource/I'm_with_You_(album)";"";"";"";"";"";"";"";"";"";"0.8";"";"0.6";"";"";"";"0.7";"";"";"";"";"";"";"";"";"";"";"";"";"";"0.7";"";"";"";"";"";"";"";"";"";"";"0.8";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0.6";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0.4";"";"0.375";"0.9";"";"";"0.7";""
"http://dbpedia.org/resource/The_Shepherd's_Dog";"0.9";"";"";"";"";"";"";"";"";"";"";"0.8";"";"";"";"0.9";"";"";"0.8500000000000001";"";"";"";"";"";"";"";"";"";"";"0.7";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0.8";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0.86";"";"";"";"";"";"";""
"http://dbpedia.org/resource/Post_Mortem_(album)";"";"";"";"";"";"0.7";"";"";"";"";"";"";"";"";"";"0.6";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0.5";""
"http://dbpedia.org/resource/Just_Us_Kids";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0.8";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0.85";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0.8";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0.85";"";"";"";""
"http://dbpedia.org/resource/The_Devil's_Rain_(album)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0.4";"";"";"";"0.4";"";"";"";"";"";"";"";"0.5";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0.6";"";"";"";"";"";"";"";"";"";"";"0.6";"";"";"";"";"";"";"";"";"";"0.5";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0.4"
"http://dbpedia.org/resource/Brighter_Than_Creation's_Dark";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0.9";"";"";"";"";"";"";"";"";"";"";"";"";"";"0.8";"";"";"";"";"0.9";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0.82";"";"";"";"";"";"";""
"http://dbpedia.org/resource/Hey_Hey_My_My_Yo_Yo";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0.9";"";"";"0.75";"0.8";"";"";"";"";"";"";"";"";"";"0.6";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0.7";"";"";"";"";"";"";"";"";"";"";"";"";"0.7";"";"";"";"";"";"";"";"";"";"";"";"";"0.85";"";"";"";"";"0.79";"";"";"0.85";"";"";"0.8";""
"http://dbpedia.org/resource/The_Past_Presents_the_Future";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0.5";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0.47000000000000003";"";"";"";"";"";"";""
"http://dbpedia.org/resource/Sunny_Border_Blue";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0.8";"";"";"";"";"";"";"";"";"";"";"";"";"";"0.7";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0.8";"";"";"0.85";"";"";"";""
"http://dbpedia.org/resource/The_Way_the_Wind_Blows";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0.8";"";"0.8";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"http://dbpedia.org/resource/Anywhere_I_Lay_My_Head";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0.5";"";"0.6";"";"0.5";"";"";"";"";"";"";"";"";"";"0.5";"";"";"";"";"";"0.8";"";"";"";"";"";"0.8";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0.8";"";"";"";"";"";"";"";"";"";"";"";"";"0.55";"";"";"0.7";"";"";"0.5";""
"http://dbpedia.org/resource/New_Amerykah_Part_One_(4th_World_War)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1.0";"";"";"";"0.9";"";"";"";"";"";"";"";"";"";"0.6";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0.8";"";"";"";"1.0";"";"";"";"";"";"";"";"0.8";"0.9";"";"";"";"0.78";"";"0.875";"0.9";"";"";"";""
"http://dbpedia.org/resource/Turn_on_the_Bright_Lights";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1.0";"";"";"";"0.9";"";"";"";"";"";"";"";"";"";"0.6";"";"";"";"";"";"";"";"";"";"";"";"0.8";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0.75";"";"";"";"";"0.6";"";"";"";"";"";"";"";"";"";"";"";"";"";"1.0";"";"";"";"0.95";"";"0.75";"0.9";"";"";"";""
"http://dbpedia.org/resource/Crunk_Rock";"";"";"";"";"";"";"";"";"0.5";"";"";"";"";"";"";"0.6";"";"";"";"0.5";"0.625";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0.5";"";"";"";"";"";"";"0.5";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"http://dbpedia.org/resource/Sir_Lucious_Left_Foot:_The_Son_of_Chico_Dusty";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0.9";"";"";"";"0.8";"";"";"";"";"";"";"";"";"";"0.7";"";"";"";"";"";"";"";"";"";"";"";"0.8";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0.8";"";"";"";"";"";"";"";"";"";"";"";"";"0.9199999999999999";"";"0.875";"0.9";"0.9";"";"0.9";""
"http://dbpedia.org/resource/Crazy_Clown_Time";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0.7";"";"";"";"0.7";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0.61";"";"";"";"";"";"";""
"http://dbpedia.org/resource/Electronic_Earth";"";"";"";"";"0.6";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0.8";"";"";"";"";"";"";"";"";"";"";"0.4";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0.6";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"http://dbpedia.org/resource/Fallen_Empires_(album)";"";"";"";"";"0.6";"";"";"";"";"";"";"";"";"";"";"0.7";"";"";"";"";"";"";"";"";"";"";"";"";"";"0.5";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0.6";"";"";"";"";"";"";"";"";"";"";"";"";"0.48";"";"0.375";"0.8";"";"";"0.5";""
"http://dbpedia.org/resource/A_Little_Deeper";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0.8";"";"";"";"";"";"";"";"";"";"";"";"";"";"0.6";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0.75";"";"";"";"";"0.8";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"http://dbpedia.org/resource/There's_a_Fire";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0.7";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"http://dbpedia.org/resource/The_Cosmos_Rocks";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0.4";"";"";"";"";"";"";"";"";"";"";"";"";"";"0.4";"";"";"";"";"";"";"";"0.6";"";"";"";"";"";"";"";"";"";"";"";"0.7";"";"";"";"";"";"";"";"";"";"";"";"";"";"0.2";"";"";"";"0.4";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"http://dbpedia.org/resource/Candylion";"";"";"";"";"0.4";"";"";"";"";"";"0.8";"";"";"";"";"0.8";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0.7";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0.8";"";"";"";"0.8";"";"";"";"";"";"";"";"";"";"";"";"";"0.8";"";"";"";"";"";"";""
"http://dbpedia.org/resource/Body_Language_Live";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"http://dbpedia.org/resource/Time*_Sex*_Love*";"";"";"";"";"";"";"";"";"";"";"";"0.8";"";"";"";"0.8";"";"";"";"";"";"";"1";"";"";"";"";"";"";"0.7";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0.625";"0.75";"";"";"";""
"http://dbpedia.org/resource/Violence_Begets_Violence";"";"";"";"";"";"";"";"";"0.8";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0.875";"";"";"";"";"";"";"";"";"0.6";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0.6";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0.7";"";"";"";"";"";"";"";"";"";""
"http://dbpedia.org/resource/The_Handler";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"http://dbpedia.org/resource/Down_the_Way";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"http://dbpedia.org/resource/High_Dive";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0.9";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"http://dbpedia.org/resource/The_Lateness_of_the_Hour_(album)";"";"";"";"";"0.8";"";"";"";"";"";"";"";"";"";"";"0.6";"";"0.4";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0.8";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0.4";"";"";"";"";"";"";"0.6";"";"";"";"";"";"";"";"";"";"0.37";"";"";"";"";"";"";""
