"amazon_rating";"amazon_nusers";"uri"
"";"";"http://dbpedia.org/resource/Five_Serpent's_Teeth"
"3.9";"9";"http://dbpedia.org/resource/Jackinabox"
"4.4";"283";"http://dbpedia.org/resource/Fleet_Foxes_(EP)"
"4.3";"3";"http://dbpedia.org/resource/Sepalcure_(album)"
"4.5";"2";"http://dbpedia.org/resource/Money_and_Celebrity"
"4.5";"165";"http://dbpedia.org/resource/All_the_Lost_Souls"
"4.6";"114";"http://dbpedia.org/resource/All_Things_Bright_and_Beautiful_(album)"
"4.4";"50";"http://dbpedia.org/resource/Rings_Around_the_World"
"3.7";"140";"http://dbpedia.org/resource/Street_Dreams_(Fabolous_album)"
"4.6";"5";"http://dbpedia.org/resource/Castle_Talk_(album)"
"4.0";"13";"http://dbpedia.org/resource/Kill_for_Love"
"3.8";"6";"http://dbpedia.org/resource/Thought_So"
"4.0";"60";"http://dbpedia.org/resource/The_Isness"
"4.0";"33";"http://dbpedia.org/resource/Bitte_Orca"
"4.6";"16";"http://dbpedia.org/resource/13_&_God_(album)"
"4.4";"133";"http://dbpedia.org/resource/Time_(The_Revelator)"
"4.0";"50";"http://dbpedia.org/resource/The_Seventh_Seal_(Rakim_album)"
"4.9";"22";"http://dbpedia.org/resource/Majesty_Shredding"
"4.6";"12";"http://dbpedia.org/resource/Enter_the_Vaselines"
"";"";"http://dbpedia.org/resource/Crown_Royal_(album)"
"4.0";"110";"http://dbpedia.org/resource/Time*_Sex*_Love*"
"4.5";"72";"http://dbpedia.org/resource/The_Drug_in_Me_Is_You"
"4.4";"9";"http://dbpedia.org/resource/Tones_of_Town"
"4.2";"26";"http://dbpedia.org/resource/Destroyer's_Rubies"
"4.5";"33";"http://dbpedia.org/resource/World_Wide_Rebel_Songs"
"4.7";"15";"http://dbpedia.org/resource/The_Libertines_(album)"
"4.2";"119";"http://dbpedia.org/resource/Miss_E..._So_Addictive"
"4.4";"29";"http://dbpedia.org/resource/The_Body,_the_Blood,_the_Machine"
"4.0";"221";"http://dbpedia.org/resource/Bat_Out_of_Hell_III:_The_Monster_Is_Loose"
"4.0";"29";"http://dbpedia.org/resource/Junk_of_the_Heart"
"4.6";"14";"http://dbpedia.org/resource/Midlife:_A_Beginner's_Guide_to_Blur"
"4.2";"22";"http://dbpedia.org/resource/The_Strangest_Things"
"4.2";"18";"http://dbpedia.org/resource/The_Sun_and_the_Moon"
"3.6";"12";"http://dbpedia.org/resource/Street_Horrrsing"
"4.6";"20";"http://dbpedia.org/resource/The_Magic_Position"
"4.3";"15";"http://dbpedia.org/resource/Fiction_Family_(album)"
"4.2";"116";"http://dbpedia.org/resource/It's_Me_Again"
"3.6";"12";"http://dbpedia.org/resource/Vivian_Girls_(album)"
"4.1";"30";"http://dbpedia.org/resource/The_Papercut_Chronicles_II"
"4.1";"85";"http://dbpedia.org/resource/The_Declaration"
"4.8";"5";"http://dbpedia.org/resource/Marissa_Nadler_(album)"
"4.1";"247";"http://dbpedia.org/resource/Vampire_Weekend_(album)"
"4.1";"131";"http://dbpedia.org/resource/Miss_Machine"
"4.3";"3";"http://dbpedia.org/resource/Serena_Maneesh_(album)"
"4.3";"7";"http://dbpedia.org/resource/How_to_Compose_Popular_Songs_That_Will_Sell"
"4.6";"97";"http://dbpedia.org/resource/The_Con_(album)"
"4.6";"16";"http://dbpedia.org/resource/Cryptomnesia_(album)"
"4.4";"115";"http://dbpedia.org/resource/Nothing_Is_Wrong"
"4.8";"34";"http://dbpedia.org/resource/Emeritus_(album)"
"4.1";"36";"http://dbpedia.org/resource/Come_Through_for_You"
"4.6";"187";"http://dbpedia.org/resource/Life_in_Cartoon_Motion"
"4.2";"33";"http://dbpedia.org/resource/Soul_Caddy"
"4.7";"71";"http://dbpedia.org/resource/Decoration_Day_(album)"
"4.7";"38";"http://dbpedia.org/resource/The_Wombats_Proudly_Present:_This_Modern_Glitch"
"4.4";"7";"http://dbpedia.org/resource/Truly_She_Is_None_Other"
"4.1";"220";"http://dbpedia.org/resource/Born_Villain"
"4.6";"63";"http://dbpedia.org/resource/One_Kind_Favor"
"5.0";"1";"http://dbpedia.org/resource/From_the_Forest_to_the_Sea"
"4.1";"146";"http://dbpedia.org/resource/50_Words_for_Snow"
"3.1";"453";"http://dbpedia.org/resource/I_Am_Me"
"3.3";"";"http://dbpedia.org/resource/Chocolate_Starfish_and_the_Hot_Dog_Flavored_Water"
"3.1";"28";"http://dbpedia.org/resource/Brass_Knuckles_(album)"
"4.8";"35";"http://dbpedia.org/resource/The_Color_Spectrum"
"3.6";"287";"http://dbpedia.org/resource/Devils_&_Dust"
"4.9";"67";"http://dbpedia.org/resource/The_Execution_of_All_Things"
"4.6";"17";"http://dbpedia.org/resource/Savane_(album)"
"3.5";"2";"http://dbpedia.org/resource/Health//Disco"
"4.3";"40";"http://dbpedia.org/resource/The_Convincer"
"3.8";"88";"http://dbpedia.org/resource/Godfather_Buried_Alive"
"4.5";"68";"http://dbpedia.org/resource/Some_Kind_of_Trouble"
"4.3";"20";"http://dbpedia.org/resource/Pushing_the_Senses"
"2.9";"100";"http://dbpedia.org/resource/Night_Train_(EP)"
"4.5";"94";"http://dbpedia.org/resource/All_Hands_on_the_Bad_One"
"4.5";"18";"http://dbpedia.org/resource/Maraqopa"
"4.2";"57";"http://dbpedia.org/resource/No_Boys_Allowed"
"4.3";"4";"http://dbpedia.org/resource/End_Titles..._Stories_for_Film"
"4.6";"201";"http://dbpedia.org/resource/Love_on_the_Inside"
"3.7";"102";"http://dbpedia.org/resource/Somebody's_Miracle"
"";"";"http://dbpedia.org/resource/Burn_Your_Town"
"4.7";"26";"http://dbpedia.org/resource/Curse_Your_Branches"
"4.4";"28";"http://dbpedia.org/resource/Stupid_Love"
"4.3";"17";"http://dbpedia.org/resource/What_Were_You_Hoping_For%3F"
"3.3";"23";"http://dbpedia.org/resource/Goon_Affiliated"
"3.0";"1";"http://dbpedia.org/resource/03/07%E2%80%9309/07"
"4.1";"69";"http://dbpedia.org/resource/Townes_(album)"
"4.0";"75";"http://dbpedia.org/resource/Dusk_and_Summer"
"4.3";"3";"http://dbpedia.org/resource/Be_Still_Please"
"4.3";"47";"http://dbpedia.org/resource/Street_Sweeper_Social_Club_(album)"
"4.2";"47";"http://dbpedia.org/resource/14_Shades_of_Grey"
"4.2";"12";"http://dbpedia.org/resource/Hypermagic_Mountain"
"4.2";"141";"http://dbpedia.org/resource/Why_Should_the_Fire_Die%3F"
"";"";"http://dbpedia.org/resource/New_History_Warfare_Vol._2:_Judges"
"4.6";"110";"http://dbpedia.org/resource/Furious_Angels"
"4.4";"126";"http://dbpedia.org/resource/Twin_Cinema"
"4.1";"13";"http://dbpedia.org/resource/8_Million_Stories"
"4.7";"7";"http://dbpedia.org/resource/Complete_Me"
"4.7";"14";"http://dbpedia.org/resource/Yonder_Is_the_Clock"
"4.9";"39";"http://dbpedia.org/resource/Fishin'_for_Woos"
"4.2";"5";"http://dbpedia.org/resource/East_of_Eden_(album)"
"4.7";"563";"http://dbpedia.org/resource/De-Loused_in_the_Comatorium"
"4.5";"109";"http://dbpedia.org/resource/Love_Behind_the_Melody"
"4.4";"5";"http://dbpedia.org/resource/Diaper_Island"
"4.6";"14";"http://dbpedia.org/resource/Imidiwan"
"4.6";"8";"http://dbpedia.org/resource/Flashy"
"4.6";"88";"http://dbpedia.org/resource/Electric_Dirt"
"4.7";"18";"http://dbpedia.org/resource/Lesser_Matters"
"4.7";"71";"http://dbpedia.org/resource/Gorilla_Manor"
"4.8";"33";"http://dbpedia.org/resource/Tassili_(album)"
"4.2";"19";"http://dbpedia.org/resource/Journal_for_Plague_Lovers"
"3.8";"12";"http://dbpedia.org/resource/Slick_Dogs_and_Ponies"
"4.5";"19";"http://dbpedia.org/resource/Internal_Wrangler"
"4.2";"582";"http://dbpedia.org/resource/The_Open_Door"
"4.2";"65";"http://dbpedia.org/resource/Feels"
"4.6";"16";"http://dbpedia.org/resource/WIXIW"
"3.8";"71";"http://dbpedia.org/resource/LCD_Soundsystem_(album)"
"4.5";"117";"http://dbpedia.org/resource/From_a_Basement_on_the_Hill"
"4.3";"91";"http://dbpedia.org/resource/Sound_of_Silver"
"4.6";"17";"http://dbpedia.org/resource/The_Budos_Band_III"
"2.7";"6";"http://dbpedia.org/resource/Rascalize"
"4.1";"49";"http://dbpedia.org/resource/Live_at_Shea_Stadium"
"4.2";"175";"http://dbpedia.org/resource/World_Without_Tears"
"3.8";"377";"http://dbpedia.org/resource/Antics_(album)"
"4.5";"50";"http://dbpedia.org/resource/Midnight_Souvenirs"
"3.9";"44";"http://dbpedia.org/resource/Pawn_Shoppe_Heart"
"4.2";"303";"http://dbpedia.org/resource/So_Long,_Astoria"
"";"";"http://dbpedia.org/resource/Bowie_at_the_Beeb"
"4.7";"441";"http://dbpedia.org/resource/You_Get_What_You_Give_(album)"
"3.4";"11";"http://dbpedia.org/resource/Razorlight_(album)"
"4.4";"93";"http://dbpedia.org/resource/The_Whole_Love"
"3.9";"30";"http://dbpedia.org/resource/Songs_About_Girls"
"4.4";"5";"http://dbpedia.org/resource/Seek_Magic"
"4.4";"20";"http://dbpedia.org/resource/Do_You_Like_Rock_Music%3F"
"4.7";"10";"http://dbpedia.org/resource/If_Songs_Could_Be_Held"
"4.2";"10";"http://dbpedia.org/resource/Electronic_Earth"
"5.0";"3";"http://dbpedia.org/resource/Doomsdayer's_Holiday"
"4.6";"29";"http://dbpedia.org/resource/Twelve_Stops_and_Home"
"4.5";"13";"http://dbpedia.org/resource/Arabia_Mountain_(album)"
"4.2";"23";"http://dbpedia.org/resource/Black_Up"
"3.9";"30";"http://dbpedia.org/resource/Cripple_Crow"
"4.2";"174";"http://dbpedia.org/resource/I_Am_Shelby_Lynne"
"4.8";"32";"http://dbpedia.org/resource/Trill_OG"
"4.3";"354";"http://dbpedia.org/resource/Street's_Disciple"
"4.0";"8";"http://dbpedia.org/resource/Dumb_Luck_(album)"
"4.5";"11";"http://dbpedia.org/resource/Do_It_in_the_AM"
"4.2";"165";"http://dbpedia.org/resource/Saints_of_Los_Angeles"
"4.2";"76";"http://dbpedia.org/resource/Y_Not"
"4.6";"108";"http://dbpedia.org/resource/The_Creek_Drank_the_Cradle"
"4.7";"298";"http://dbpedia.org/resource/30_Seconds_to_Mars_(album)"
"3.8";"373";"http://dbpedia.org/resource/Fly_from_Here"
"4.4";"95";"http://dbpedia.org/resource/Britney_(album)"
"4.6";"272";"http://dbpedia.org/resource/The_Moon_&_Antarctica"
"4.0";"14";"http://dbpedia.org/resource/Walking_Cloud_and_Deep_Red_Sky,_Flag_Fluttered_and_the_Sun_Shined"
"4.6";"218";"http://dbpedia.org/resource/Under_the_Iron_Sea"
"3.8";"157";"http://dbpedia.org/resource/Abnormally_Attracted_to_Sin"
"3.5";"33";"http://dbpedia.org/resource/The_Fine_Art_of_Self_Destruction"
"4.1";"111";"http://dbpedia.org/resource/Pressure_Chief"
"4.7";"26";"http://dbpedia.org/resource/Paper_Tigers"
"3.9";"55";"http://dbpedia.org/resource/Underclass_Hero"
"4.4";"76";"http://dbpedia.org/resource/Songs_in_Red_and_Gray"
"4.3";"";"http://dbpedia.org/resource/The_College_Dropout"
"4.0";"57";"http://dbpedia.org/resource/Tomorrow's_World_(album)"
"4.2";"11";"http://dbpedia.org/resource/Ersatz_GB"
"4.7";"334";"http://dbpedia.org/resource/Hell_on_Heels"
"3.7";"3";"http://dbpedia.org/resource/He_Was_King"
"4.0";"5";"http://dbpedia.org/resource/The_Time_of_the_Assassins"
"4.7";"15";"http://dbpedia.org/resource/Wind_in_the_Wires"
"4.1";"16";"http://dbpedia.org/resource/Alphabutt"
"3.9";"41";"http://dbpedia.org/resource/Airtight's_Revenge"
"4.6";"117";"http://dbpedia.org/resource/Blur:_The_Best_Of"
"3.9";"56";"http://dbpedia.org/resource/Red_Dirt_Road"
"3.7";"11";"http://dbpedia.org/resource/Gemstones_(album)"
"4.8";"12";"http://dbpedia.org/resource/Songs_from_the_Year_of_Our_Demise"
"4.3";"21";"http://dbpedia.org/resource/Mouthfuls"
"4.6";"189";"http://dbpedia.org/resource/The_Lateness_of_the_Hour_(album)"
"4.3";"7";"http://dbpedia.org/resource/Looping_State_of_Mind"
"";"";"http://dbpedia.org/resource/Better_Than_Heavy"
"4.9";"26";"http://dbpedia.org/resource/Ten_Stories"
"4.1";"59";"http://dbpedia.org/resource/Rather_Ripped"
"3.9";"9";"http://dbpedia.org/resource/Love_Travels_at_Illegal_Speeds"
"4.5";"124";"http://dbpedia.org/resource/Seasons_of_My_Soul"
"4.6";"59";"http://dbpedia.org/resource/Feel_That_Fire"
"4.3";"170";"http://dbpedia.org/resource/Goodbye_Lullaby"
"4.8";"61";"http://dbpedia.org/resource/Down_the_Way"
"4.3";"29";"http://dbpedia.org/resource/Absolute_Dissent"
"4.3";"";"http://dbpedia.org/resource/Audioslave_(DVD)"
"4.7";"165";"http://dbpedia.org/resource/Lupe_Fiasco's_Food_&_Liquor"
"4.2";"25";"http://dbpedia.org/resource/Night_on_Fire"
"4.4";"36";"http://dbpedia.org/resource/II_Trill"
"4.7";"49";"http://dbpedia.org/resource/Histoire_de_Melody_Nelson"
"5.0";"1";"http://dbpedia.org/resource/Mr._Impossible_(album)"
"3.7";"89";"http://dbpedia.org/resource/Symphonicities"
"4.3";"88";"http://dbpedia.org/resource/Metals_(album)"
"4.5";"106";"http://dbpedia.org/resource/Taking_Chances"
"4.2";"5";"http://dbpedia.org/resource/Thecontrollersphere"
"4.8";"9";"http://dbpedia.org/resource/Lucky_Shiner"
"4.1";"75";"http://dbpedia.org/resource/Have_One_on_Me"
"3.8";"25";"http://dbpedia.org/resource/Riot_City_Blues"
"4.4";"17";"http://dbpedia.org/resource/Jarvis_(album)"
"5.0";"2";"http://dbpedia.org/resource/Rainwater_Cassette_Exchange"
"3.8";"40";"http://dbpedia.org/resource/My_World,_My_Way_(album)"
"3.9";"61";"http://dbpedia.org/resource/Korn_III:_Remember_Who_You_Are"
"4.7";"64";"http://dbpedia.org/resource/Andrew_Bird_&_the_Mysterious_Production_of_Eggs"
"4.2";"34";"http://dbpedia.org/resource/Song_Yet_to_Be_Sung"
"3.4";"26";"http://dbpedia.org/resource/Tales_Don't_Tell_Themselves"
"4.8";"13";"http://dbpedia.org/resource/Invisible_Cinema"
"3.9";"96";"http://dbpedia.org/resource/The_Great_Escape_Artist"
"3.5";"4";"http://dbpedia.org/resource/Ill_Manors_(album)"
"4.6";"8";"http://dbpedia.org/resource/Silent_Movies"
"4.6";"5";"http://dbpedia.org/resource/Psychic_Chasms"
"4.6";"19";"http://dbpedia.org/resource/The_Wonder_Years_(9th_Wonder_album)"
"4.7";"18";"http://dbpedia.org/resource/Anna_Calvi_(album)"
"4.4";"180";"http://dbpedia.org/resource/Strange_Mercy"
"3.9";"106";"http://dbpedia.org/resource/Amputechture"
"4.4";"9";"http://dbpedia.org/resource/Cold_House"
"4.0";"";"http://dbpedia.org/resource/All_That_You_Can't_Leave_Behind"
"5.0";"4";"http://dbpedia.org/resource/Awfully_Deep"
"4.1";"111";"http://dbpedia.org/resource/Boy_in_da_Corner"
"4.0";"361";"http://dbpedia.org/resource/20_Y.O."
"3.8";"70";"http://dbpedia.org/resource/Way_to_Normal"
"3.8";"46";"http://dbpedia.org/resource/Mine_Is_Yours"
"4.5";"10";"http://dbpedia.org/resource/Flaws"
"4.0";"150";"http://dbpedia.org/resource/Saturday_Nights_&_Sunday_Mornings"
"4.4";"502";"http://dbpedia.org/resource/The_Blueprint"
"3.9";"128";"http://dbpedia.org/resource/Merriweather_Post_Pavilion_(album)"
"4.4";"35";"http://dbpedia.org/resource/The_Town_and_the_City_(album)"
"4.7";"61";"http://dbpedia.org/resource/Neon_Golden"
"3.5";"63";"http://dbpedia.org/resource/Weird_Revolution"
"4.7";"16";"http://dbpedia.org/resource/These_Are_the_Good_Times_People"
"4.7";"88";"http://dbpedia.org/resource/Get_Off_on_the_Pain"
"4.4";"798";"http://dbpedia.org/resource/A_Day_Without_Rain"
"4.4";"143";"http://dbpedia.org/resource/Borrowed_Heaven"
"4.0";"2";"http://dbpedia.org/resource/Modern_Apprentice"
"4.2";"103";"http://dbpedia.org/resource/It's_Blitz!"
"4.5";"322";"http://dbpedia.org/resource/Mama's_Gun"
"3.8";"178";"http://dbpedia.org/resource/The_High_End_of_Low"
"4.4";"231";"http://dbpedia.org/resource/Seal_(2003_album)"
"4.2";"197";"http://dbpedia.org/resource/So_Beautiful_or_So_What"
"4.5";"88";"http://dbpedia.org/resource/Love_Me_Back_(album)"
"4.7";"20";"http://dbpedia.org/resource/Empros"
"4.5";"49";"http://dbpedia.org/resource/The_Old_Kit_Bag"
"4.5";"107";"http://dbpedia.org/resource/The_Complex_(album)"
"4.4";"57";"http://dbpedia.org/resource/Slave_Ambient"
"4.0";"66";"http://dbpedia.org/resource/Her_Majesty_the_Decemberists"
"4.4";"267";"http://dbpedia.org/resource/Apocalyptic_Love"
"4.0";"165";"http://dbpedia.org/resource/Twisted_Angel"
"4.5";"675";"http://dbpedia.org/resource/In_Between_Dreams"
"3.0";"2";"http://dbpedia.org/resource/Democrazy"
"4.5";"6";"http://dbpedia.org/resource/I_Am_Gemini"
"4.7";"440";"http://dbpedia.org/resource/Own_the_Night"
"4.7";"23";"http://dbpedia.org/resource/Peaceful,_the_World_Lays_Me_Down"
"4.3";"59";"http://dbpedia.org/resource/Armchair_Apocrypha"
"4.1";"82";"http://dbpedia.org/resource/Stumble_into_Grace"
"3.6";"57";"http://dbpedia.org/resource/Weapons_of_Mass_Destruction_(album)"
"4.5";"4";"http://dbpedia.org/resource/The_Best_in_Town"
"4.2";"51";"http://dbpedia.org/resource/You_in_Reverse"
"";"";"http://dbpedia.org/resource/In_Our_Space_Hero_Suits"
"4.7";"6";"http://dbpedia.org/resource/Now_You_Are_One_of_Us"
"4.5";"24";"http://dbpedia.org/resource/David_Comes_to_Life"
"4.7";"218";"http://dbpedia.org/resource/Crack_the_Skye"
"4.6";"33";"http://dbpedia.org/resource/Bright_Black_Heaven"
"4.2";"51";"http://dbpedia.org/resource/Fan_Dance_(album)"
"4.2";"213";"http://dbpedia.org/resource/Under_the_Mistletoe"
"3.7";"10";"http://dbpedia.org/resource/Dilate_(Bardo_Pond_album)"
"4.3";"19";"http://dbpedia.org/resource/Sweet_Heart_Sweet_Light"
"4.5";"475";"http://dbpedia.org/resource/Songs_for_the_Deaf"
"3.8";"295";"http://dbpedia.org/resource/If_On_a_Winter's_Night..."
"4.6";"32";"http://dbpedia.org/resource/Sycamore_Meadows"
"4.5";"35";"http://dbpedia.org/resource/Astro_Coast"
"4.5";"102";"http://dbpedia.org/resource/Welcoming_Home_the_Astronauts"
"4.7";"243";"http://dbpedia.org/resource/Music_Is_Better_Than_Words"
"3.9";"38";"http://dbpedia.org/resource/Down_in_Albion"
"4.7";"69";"http://dbpedia.org/resource/The_Money_Store_(album)"
"4.2";"187";"http://dbpedia.org/resource/Backspacer"
"3.7";"83";"http://dbpedia.org/resource/Fork_in_the_Road"
"3.9";"32";"http://dbpedia.org/resource/High_Dive"
"4.2";"94";"http://dbpedia.org/resource/Ringo_2012"
"3.6";"19";"http://dbpedia.org/resource/Tropical_Storm_(album)"
"4.4";"16";"http://dbpedia.org/resource/Parting_the_Sea_Between_Brightness_and_Me"
"5.0";"7";"http://dbpedia.org/resource/Street_Halo"
"2.2";"115";"http://dbpedia.org/resource/Powerballin'"
"4.5";"13";"http://dbpedia.org/resource/Amber_Headlights"
"4.5";"20";"http://dbpedia.org/resource/Out_of_Frequency"
"4.4";"28";"http://dbpedia.org/resource/Fabulous_Muscles"
"4.7";"234";"http://dbpedia.org/resource/Crazy_Ex-Girlfriend"
"4.5";"72";"http://dbpedia.org/resource/Mic_Tyson"
"4.5";"15";"http://dbpedia.org/resource/Shobaleader_One:_d'Demonstrator"
"4.3";"359";"http://dbpedia.org/resource/Rock_n_Roll_Jesus"
"4.4";"15";"http://dbpedia.org/resource/Spot_the_Difference"
"4.4";"16";"http://dbpedia.org/resource/Bird-Brains"
"3.4";"5";"http://dbpedia.org/resource/Earth_vs._The_Pipettes"
"4.3";"28";"http://dbpedia.org/resource/Engineers_(Engineers_album)"
"5.0";"1";"http://dbpedia.org/resource/Cervantine"
"4.2";"322";"http://dbpedia.org/resource/Love_Is_the_Answer_(album)"
"3.9";"24";"http://dbpedia.org/resource/Don't_Do_Anything"
"4.0";"81";"http://dbpedia.org/resource/Nobody's_Daughter"
"3.5";"48";"http://dbpedia.org/resource/Definition_of_Real"
"4.2";"20";"http://dbpedia.org/resource/45:33"
"4.3";"520";"http://dbpedia.org/resource/God's_Son"
"3.8";"179";"http://dbpedia.org/resource/Don't_Tread_on_Me_(album)"
"4.8";"26";"http://dbpedia.org/resource/Payable_on_Death"
"3.0";"72";"http://dbpedia.org/resource/The_Beginning_Stages_of..."
"3.7";"23";"http://dbpedia.org/resource/Mr._Brown_(album)"
"4.7";"6";"http://dbpedia.org/resource/Signal_Morning"
"3.9";"7";"http://dbpedia.org/resource/Jim_Noir_(album)"
"4.6";"221";"http://dbpedia.org/resource/Bear_Creek_(album)"
"4.5";"94";"http://dbpedia.org/resource/Mm.._Food"
"4.5";"8";"http://dbpedia.org/resource/An_Empty_Bliss_Beyond_This_World"
"4.4";"68";"http://dbpedia.org/resource/Love_vs._Money"
"5.0";"4";"http://dbpedia.org/resource/Kellie_Pickler_(album)"
"4.3";"4";"http://dbpedia.org/resource/The_Evangelist"
"4.6";"9";"http://dbpedia.org/resource/Robotique_Majestique"
"4.3";"401";"http://dbpedia.org/resource/Ten_Thousand_Fists"
"3.6";"17";"http://dbpedia.org/resource/Dangerous_Dreams"
"4.0";"112";"http://dbpedia.org/resource/It_Still_Moves"
"4.3";"53";"http://dbpedia.org/resource/Person_Pitch"
"4.7";"177";"http://dbpedia.org/resource/Bachelor_No._2_or,_the_Last_Remains_of_the_Dodo"
"4.3";"26";"http://dbpedia.org/resource/Sam_Sparro_(album)"
"3.6";"23";"http://dbpedia.org/resource/Do_Rabbits_Wonder%3F"
"4.3";"107";"http://dbpedia.org/resource/You_Forgot_It_in_People"
"4.7";"7";"http://dbpedia.org/resource/Xenophanes_(album)"
"3.9";"36";"http://dbpedia.org/resource/Unglamorous"
"4.4";"43";"http://dbpedia.org/resource/Twisted_Tenderness"
"4.7";"232";"http://dbpedia.org/resource/Life_Is_Good_(Nas_album)"
"4.4";"12";"http://dbpedia.org/resource/Euphoric_Heartbreak"
"4.5";"2";"http://dbpedia.org/resource/Crazy_Clown_Time"
"4.4";"238";"http://dbpedia.org/resource/Welcome_Interstate_Managers"
"3.9";"33";"http://dbpedia.org/resource/Bang_Bang_Rock_&_Roll"
"3.5";"44";"http://dbpedia.org/resource/Malice_n_Wonderland"
"4.1";"40";"http://dbpedia.org/resource/R.O.O.T.S."
"3.9";"268";"http://dbpedia.org/resource/Cocky_(album)"
"4.2";"272";"http://dbpedia.org/resource/Bon_Iver,_Bon_Iver"
"4.3";"15";"http://dbpedia.org/resource/Rook_(album)"
"4.3";"6";"http://dbpedia.org/resource/(a)spera"
"4.3";"44";"http://dbpedia.org/resource/Welcome_to_the_North"
"3.5";"454";"http://dbpedia.org/resource/Monkey_Business_(album)"
"4.5";"10";"http://dbpedia.org/resource/Red_Devil_Dawn"
"4.7";"30";"http://dbpedia.org/resource/The_Monitor_(album)"
"4.5";"382";"http://dbpedia.org/resource/Four_the_Record"
"4.0";"1";"http://dbpedia.org/resource/Fasciinatiion"
"3.9";"72";"http://dbpedia.org/resource/What_I_Do"
"4.0";"58";"http://dbpedia.org/resource/Down_to_Earth_(Jem_album)"
"5.0";"3";"http://dbpedia.org/resource/GhostDeini_the_Great"
"4.3";"70";"http://dbpedia.org/resource/You're_a_Woman,_I'm_a_Machine"
"3.9";"9";"http://dbpedia.org/resource/The_Black_Magic_Show"
"4.2";"276";"http://dbpedia.org/resource/So-Called_Chaos"
"4.1";"408";"http://dbpedia.org/resource/A_Little_More_Personal_(Raw)"
"3.3";"6";"http://dbpedia.org/resource/Judgement_Days"
"4.0";"121";"http://dbpedia.org/resource/I_Am_a_Bird_Now"
"4.4";"34";"http://dbpedia.org/resource/Things_We_Lost_in_the_Fire_(album)"
"4.5";"12";"http://dbpedia.org/resource/Big_Talk_(album)"
"4.5";"44";"http://dbpedia.org/resource/Snakes_for_the_Divine"
"4.4";"20";"http://dbpedia.org/resource/Legendary_Weapons"
"3.7";"34";"http://dbpedia.org/resource/Folker"
"4.1";"92";"http://dbpedia.org/resource/White_Chalk"
"4.5";"10";"http://dbpedia.org/resource/Quantic_&_Alice_Russell:_Look_Around_The_Corner"
"4.2";"522";"http://dbpedia.org/resource/Hotel_Paper"
"4.2";"148";"http://dbpedia.org/resource/Pop_Trash"
"3.0";"4";"http://dbpedia.org/resource/Decent_Work_for_Decent_Pay"
"4.2";"30";"http://dbpedia.org/resource/A_Man's_Thoughts"
"4.6";"37";"http://dbpedia.org/resource/De_Vermis_Mysteriis_(album)"
"3.8";"166";"http://dbpedia.org/resource/Red_Carpet_Massacre"
"4.3";"135";"http://dbpedia.org/resource/The_Seldom_Seen_Kid"
"4.6";"5";"http://dbpedia.org/resource/At_Your_Inconvenience"
"3.8";"106";"http://dbpedia.org/resource/The_Mix-Up"
"3.7";"325";"http://dbpedia.org/resource/The_Dutchess"
